Sc;Scandium;21;44.956;4
Ti;Titanium;22;47.867;4
V;Vanadium;23;50.942;4
Cr;chromium;24;51.996;4
Mn;Manganese;25;54.938;4
Fe;Iron;26;55.845;4
Co;Cobalt;27;58.933;4
Ni;Nickel;28;58.693;4
Cu;Copper;29;63.546;4
Zn;Zinc;30;65.380;4
Y;Yttrium;39;88.906;5
Zr;Zirconium;40;91.224;5
Nb;Niobium;41;92.906;5
Mo;Molybdenum;42;95.950;5
Tc;Technetium;43;98;5
Ru;Ruthenium;44;101.07;5
Rh;Rhrodium;45;102.91;5
Pd;Palladium;46;106.42;5
Ag;Silver;47;107.87;5
Cd;Cadmium;48;112.41;5
Hf;Hafnium;72;178.49;6
Ta;Tantalum;73;180.95;6
W;Tungsten;74;183.84;6
Re;Rhenium;75;186.21;6
Os;Osmium;76;190.23;6
Ir;Iridium;77;192.22;6
Pt;Platinum;78;195.08;6
Au;Gold;79;196.97;6
Hg;Mercury;80;200.59;6
Rf;Rutherfordium;104;267;7
Db;Dubnium;105;262;7
Sg;Seaborgium;106;269;7
Bh;Bohrium;107;264;7
Hs;Hassium;108;269;7
